id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,Ba_only_candidate,Sr_only_candidate,Ba_Sr_candidate,BA_FE_4554,BA_FE_4554_err,BA_FE_4554_kernel,BA_FE_4554_kernel_err,BA_FE_4934,BA_FE_4934_err,BA_FE_4934_kernel,BA_FE_4934_kernel_err,SR_FE_4077,SR_FE_4077_err,SR_FE_4077_kernel,SR_FE_4077_kernel_err,SR_FE_4215,SR_FE_4215_err,SR_FE_4215_kernel,SR_FE_4215_kernel_err
spec-55863-B6302_sp03-241.fits,4975.10671938,2.92515830097,-0.632408620175,0.188103253593,36.0510685543,0.0702088387447,0.0415671460473,0.0222959904635,0.970257036974231,355.916854,28.523132,38.95000076293945,1553,true,false,false,1.033456492101205,0.03350183189591944,15.990712835387853,21.614799978398846,1.040782423762366,0.04033809808102165,6.620090137791103,23.05548229035935,-0.21794004909304426,0.0,26.914557289478818,107.22484221859393,-0.032070927202124566,0.0,8.949688370062278,94.7951834695804
spec-55916-F5591604_sp12-157.fits,5061.78358124,3.32309698538,-0.471214989283,0.117939011579,43.9933040532,0.0713174142615,0.048055817209,0.0242628146346,0.7086751125519795,123.538855,20.943046,34.459999084472656,16403,true,false,false,0.9280200533317133,0.19087766182950416,5.9321727714497365,37.06736804472842,0.8849087055263216,0.24139961569184099,-18.261025435657157,39.85552231503818,0.7708258560386392,0.15098745997781274,-62.04504788661413,2.1350861995742808E-7,-0.13482485636666114,0.0,-8.55026064970526,115.635570966309
spec-55939-B5593903_sp03-060.fits,4983.96331918,3.09750732322,-0.378936771219,0.0918813123456,15.6974380593,0.0304286738948,0.0179811076838,0.00888659582975,1.2850140410703363,136.198402,31.171125,89.87999725341797,27218,true,false,false,0.9614519848680492,0.06978821953505622,13.711923078032717,13.024606487590686,0.83597207669433,0.10230432364357368,1.0238413168964167,17.826290611887035,0.8398800320520116,0.03875931899896578,26.914558064346735,16.35143161667617,0.508562176399267,0.30216808030938186,8.949726890150048,2.9648366117620575E-9
spec-56202-EG232011N230528V01_sp13-142.fits,5097.36648732,3.24553603427,-0.68370549526,0.142331981992,22.5548960299,0.0347683562621,0.0251200103746,0.0124458854201,0.7585434298142938,351.92923,23.667608,84.0999984741211,84348,true,false,false,1.0248541801042934,0.01827924609892802,-2.0578678811403144,12.528665498002809,1.0160421675127693,0.021663521311434095,-6.0480983084524125,14.326618445603394,-0.13789365012263854,0.0,-62.04504604872301,46.15665289660803,-0.055445027042336226,0.0,-53.470643124212245,46.12429494242986
spec-56258-GAC105N15V2_sp15-151.fits,4471.3973794,1.71924503807,0.00327672512699,0.0261171380346,8.64769965777,0.0267417219591,0.0137615044568,0.00666836539626,1.179437012530531,104.58767,16.892311,49.810001373291016,113860,true,false,false,0.8177783201825919,0.09548468717351345,14.033528122650669,26.457540240581803,0.834396626697905,0.11391802144734539,-14.101280472300088,23.00338595918523,0.9526356336693526,0.10506238144651688,-26.48746009439113,29.849991504746203,1.2729842101763333,0.016804138083687054,-53.47065025747728,55.91931112740926
spec-56258-VB054N40V2_sp04-169.fits,4440.12383187,1.43870071009,-0.786798703144,0.198260836917,15.0397376528,0.0390777541029,0.0247410648475,0.0120192114633,0.7910275709954102,53.535439,40.095065,39.619998931884766,116134,true,false,false,1.0199748124862025,0.03641982302525256,37.47415237487531,25.023829134473385,1.027566931687589,0.041154343446121316,4.363303554993019,24.192589912300395,0.18982102539039677,259.28936039737346,26.914448568266835,390.4701681902868,1.2740466252430749,0.028781329063807468,-53.47064145747899,98.51582683545325
spec-56266-M31007N41B1_sp03-046.fits,5074.96288297,3.30037487148,-0.316861390979,0.0982658469441,33.5907895589,0.0615697336628,0.0378837002228,0.0183688233405,0.33063569855004155,6.4066253,41.189937,36.20000076293945,123830,true,false,false,1.0119988934669353,0.03115761098626199,-14.197891283371522,24.85830675468912,0.9999998525431109,0.23164731668487348,-4.1474003780347335,31.473781601645555,0.783911212409758,0.07938647575983382,3.0713578111506497,39.69305654458919,-0.06252360103783444,0.0,8.949700470373838,77.94394420462045
spec-56280-HD094610N064230B_sp10-247.fits,5026.4565803,3.210929503,-0.636214936611,0.161887406326,22.8869913801,0.037887500613,0.0260123352845,0.0134461824422,1.1262516124729693,144.911963,6.530432,73.12000274658203,129355,true,false,false,1.0411237661420762,0.017527635661016873,19.027257247466835,11.66899715419871,1.0415234725397027,0.023310204611772894,-4.930551386606421,13.76731078246546,0.9004943537161819,0.05105718244244154,-16.16136803996493,16.53652183981482,-0.0549990348362101,0.0,8.948597962063001,49.753555081113824
spec-56296-HD124632N240842B01_sp05-083.fits,5109.49600342,2.94290605408,-0.76969737219,0.153715092232,25.201150668,0.0485536485554,0.0307488240248,0.0141177848413,1.5392114110058188,191.266579,22.936692,65.66000366210938,147353,true,false,false,1.03092700871582,0.022670777699232182,45.13983309549083,14.903993157416716,1.0460089407464852,0.031261029616048375,2.797943184634655,15.936754737489114,0.9405651028735423,0.06892653643758302,26.91455454429347,18.810001204109227,0.8854405648079979,0.09443009252191821,8.94972468278656,26.36708242263874
spec-56296-VB140N02V1_sp16-188.fits,5036.33687354,3.23943614011,-0.623553099127,0.141440667559,24.9097317698,0.0387648154639,0.0277542538456,0.0143202553173,0.5533133844925916,138.93118,4.541849,72.5,147649,true,false,false,1.0061637835213824,0.01920762390365121,12.691896237709102,15.820170790677324,0.9999997171448013,0.1432164593390475,1.5880876028542543,18.09335537652408,0.7979235553674594,0.05696501245918468,26.914555334891947,26.6294665725442,0.1898875437580363,2.515714530821766,8.949722107123842,50.00709994472911
spec-56302-HD125839S025413B01_sp06-085.fits,5159.25965026,3.13293078139,-0.624830684587,0.105265113572,17.3800416793,0.030874945356,0.0205407718248,0.00860321972676,1.555757278634561,196.081104,-3.490782,94.77999877929688,154149,true,false,false,1.143666953597205,0.014528673594168748,18.204235317405793,5.977357681574878,1.1119839462247627,0.021533593924996628,-3.464086388817066,8.555826677435117,0.9000695872698546,0.04200530429507836,26.914546060328966,13.873884296824171,0.1396967082873033,2.0035847943959264,8.949692804033042,39.458556982189684
spec-56306-HD123130N330054M01_sp02-085.fits,4965.96902465,3.24212306687,-0.536000188955,0.195595214154,32.0751810183,0.0534738988241,0.0359574611019,0.0175179677631,0.6544984379950083,185.948678,31.297018,44.93000030517578,155523,true,false,false,1.0137942684269081,0.026651996860113415,3.134638128958183,20.03892124546675,1.0102127960177547,0.03227700852558025,3.0281318367627756,22.709261075674167,0.7986974841389567,0.07590151642346529,-46.54367038687677,36.00465551983708,-0.08234190886983395,0.0,8.949591180033538,71.33848022262345
spec-56353-GAC111N10V2_sp11-237.fits,5212.97662268,3.18955657447,-0.526350025741,0.107490677783,34.0234814161,0.0644291951196,0.0397784049714,0.0182428977825,0.46644401523175133,111.85993,12.292769,38.310001373291016,195773,true,false,false,1.0253965371503484,0.03578676436725646,-10.400384214315133,24.052387098755265,0.9583062810746612,0.26823889896085107,-16.54617429397565,34.9929564874865,0.9701978057430534,0.09887421055653815,19.679433186424323,25.27863422507405,0.46432286647548965,2.582363413734054,8.949698810741713,74.4450360199025
spec-56365-GAC106N28V2_sp10-217.fits,4370.73891101,1.37695203601,-0.14786083804,0.0480521165598,8.0018501386,0.0246831702178,0.0134301895331,0.00675145347129,1.872132726515067,105.20347,27.705921,70.69999694824219,207867,true,false,false,0.8266614124537798,0.0716296112038553,0.6152166653749735,18.340664748330866,0.8404030418910073,0.09557738680858345,9.342470650537958,16.42595636075886,0.7355848118897059,0.32790944784228776,-62.04504500743823,42.81219932602096,-0.11920162098826859,0.0,-53.47063776689711,54.24530171396558
spec-56385-GAC113N23V1_sp07-169.fits,5015.00206666,2.93341860988,-0.596201594699,0.12892809657,13.6746266905,0.0265880989463,0.0160064474977,0.00866053705499,1.5323106606864925,114.45592,21.087264,131.44000244140625,217237,true,false,false,0.988591433211516,0.06552948855824747,6.19234055148199,10.42826303477182,0.8419207315350475,0.09417612348385983,-18.204564089998897,15.073125438619384,0.9173945778443434,0.03642718790546263,10.14471162957601,11.484619924189296,0.3550239378117569,1.0403222428096655,8.949723172415881,34.113095777700146
spec-56546-EG231746N163252V01_sp03-160.fits,5063.7288243,3.5416428581,-0.625467248774,0.165549064319,36.603667929,0.0502266235745,0.0409833609117,0.0189500551027,0.6335880079806897,348.823409,16.776689,42.349998474121094,241728,true,false,false,1.0393457009262148,0.028922679073469324,9.122611144728086,18.568065450807442,1.1192141365383814,0.03998434279791053,-10.666330193541297,16.621953307279345,-0.15726932246566822,0.0,26.914550406356174,67.56823738922323,-0.06889716430007495,0.0,-31.225971293544784,71.9345455175994
spec-56550-VB052N35V1_sp03-220.fits,4978.5427896,2.97191984064,-0.578544317862,0.171496216614,20.1548438835,0.0384439452935,0.0236743861762,0.0136900632928,2.8115785371995528,51.149932,36.135061,76.12999725341797,243391,true,false,false,1.0028604726564694,0.01773984254306593,-0.34742451779104744,14.695337483508014,0.9260011244344716,0.1445067624250066,-24.45121423363695,20.82280874256322,0.6168693105005403,0.27659612288903257,26.9145268239711,33.55122472699686,-0.04414809115878035,0.0,8.949707768673166,45.60551582897097
spec-56561-EG233013N050046V01_sp12-232.fits,5106.39042841,3.3308048207,-0.286038058389,0.0970323846641,12.7763617706,0.0233215497243,0.0140079771933,0.00733281973324,1.8543067063062069,353.733287,7.191885,121.16999816894531,247775,true,false,false,1.0198708781494037,0.010999104485006026,-11.556688422344592,7.734004601038528,0.9855313836614282,0.07922370134612963,9.342466883770092,10.421027625236054,0.8121688379600647,0.03648498090303735,-62.045043034558596,16.246782770804728,-0.06717956670782463,0.0,-53.47064980822696,34.46767469730692
