mass/[Fe/H],-1.2,-0.7,-0.3,0,0.3
1.5,0.537631,0.645649,0.614585,0.40048,-0.002031
2,0.672715,0.662996,0.645313,0.276994,0.000963
3,0.659606,0.728565,0.53363,0.03898,-0.239823
