id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1,dec_1,snrg_1,codeindex_1,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_2,dec_2,snrg_2,codeindex_2,Separation
spec-55863-B6302_sp03-241.fits,4975.10671938,2.92515830097,-0.632408620175,0.188103253593,36.0510685543,0.0702088387447,0.0415671460473,0.0222959904635,0.970257036974231,355.916854,28.523132,38.95000076293945,1553,spec-55863-B6302_sp03-241.fits,4975.10671938,2.92515830097,-0.632408620175,0.188103253593,36.0510685543,0.0702088387447,0.0415671460473,0.0222959904635,0.970257036974231,355.916854,28.523132,38.95000076293945,1553,0.0
spec-55916-F5591604_sp12-157.fits,5061.78358124,3.32309698538,-0.471214989283,0.117939011579,43.9933040532,0.0713174142615,0.048055817209,0.0242628146346,0.7086751125519795,123.538855,20.943046,34.459999084472656,16403,spec-55916-F5591604_sp12-157.fits,5061.78358124,3.32309698538,-0.471214989283,0.117939011579,43.9933040532,0.0713174142615,0.048055817209,0.0242628146346,0.7086751125519795,123.538855,20.943046,34.459999084472656,16403,0.0
spec-55939-B5593903_sp03-060.fits,4983.96331918,3.09750732322,-0.378936771219,0.0918813123456,15.6974380593,0.0304286738948,0.0179811076838,0.00888659582975,1.2850140410703363,136.198402,31.171125,89.87999725341797,27218,spec-55939-B5593903_sp03-060.fits,4983.96331918,3.09750732322,-0.378936771219,0.0918813123456,15.6974380593,0.0304286738948,0.0179811076838,0.00888659582975,1.2850140410703363,136.198402,31.171125,89.87999725341797,27218,0.0
spec-56202-EG232011N230528V01_sp13-142.fits,5097.36648732,3.24553603427,-0.68370549526,0.142331981992,22.5548960299,0.0347683562621,0.0251200103746,0.0124458854201,0.7585434298142938,351.92923,23.667608,84.0999984741211,84348,spec-56202-EG232011N230528V01_sp13-142.fits,5097.36648732,3.24553603427,-0.68370549526,0.142331981992,22.5548960299,0.0347683562621,0.0251200103746,0.0124458854201,0.7585434298142938,351.92923,23.667608,84.0999984741211,84348,0.0
spec-56258-GAC105N15V2_sp15-151.fits,4471.3973794,1.71924503807,0.00327672512699,0.0261171380346,8.64769965777,0.0267417219591,0.0137615044568,0.00666836539626,1.179437012530531,104.58767,16.892311,49.810001373291016,113860,spec-56258-GAC105N15V2_sp15-151.fits,4471.3973794,1.71924503807,0.00327672512699,0.0261171380346,8.64769965777,0.0267417219591,0.0137615044568,0.00666836539626,1.179437012530531,104.58767,16.892311,49.810001373291016,113860,0.0
spec-56258-VB054N40V2_sp04-169.fits,4440.12383187,1.43870071009,-0.786798703144,0.198260836917,15.0397376528,0.0390777541029,0.0247410648475,0.0120192114633,0.7910275709954102,53.535439,40.095065,39.619998931884766,116134,spec-56258-VB054N40V2_sp04-169.fits,4440.12383187,1.43870071009,-0.786798703144,0.198260836917,15.0397376528,0.0390777541029,0.0247410648475,0.0120192114633,0.7910275709954102,53.535439,40.095065,39.619998931884766,116134,0.0
spec-56266-M31007N41B1_sp03-046.fits,5074.96288297,3.30037487148,-0.316861390979,0.0982658469441,33.5907895589,0.0615697336628,0.0378837002228,0.0183688233405,0.33063569855004155,6.4066253,41.189937,36.20000076293945,123830,spec-56266-M31007N41B1_sp03-046.fits,5074.96288297,3.30037487148,-0.316861390979,0.0982658469441,33.5907895589,0.0615697336628,0.0378837002228,0.0183688233405,0.33063569855004155,6.4066253,41.189937,36.20000076293945,123830,0.0
spec-56280-HD094610N064230B_sp10-247.fits,5026.4565803,3.210929503,-0.636214936611,0.161887406326,22.8869913801,0.037887500613,0.0260123352845,0.0134461824422,1.1262516124729693,144.911963,6.530432,73.12000274658203,129355,spec-56280-HD094610N064230B_sp10-247.fits,5026.4565803,3.210929503,-0.636214936611,0.161887406326,22.8869913801,0.037887500613,0.0260123352845,0.0134461824422,1.1262516124729693,144.911963,6.530432,73.12000274658203,129355,0.0
spec-56296-HD124632N240842B01_sp05-083.fits,5109.49600342,2.94290605408,-0.76969737219,0.153715092232,25.201150668,0.0485536485554,0.0307488240248,0.0141177848413,1.5392114110058188,191.266579,22.936692,65.66000366210938,147353,spec-56296-HD124632N240842B01_sp05-083.fits,5109.49600342,2.94290605408,-0.76969737219,0.153715092232,25.201150668,0.0485536485554,0.0307488240248,0.0141177848413,1.5392114110058188,191.266579,22.936692,65.66000366210938,147353,0.0
spec-56296-VB140N02V1_sp16-188.fits,5036.33687354,3.23943614011,-0.623553099127,0.141440667559,24.9097317698,0.0387648154639,0.0277542538456,0.0143202553173,0.5533133844925916,138.93118,4.541849,72.5,147649,spec-56296-VB140N02V1_sp16-188.fits,5036.33687354,3.23943614011,-0.623553099127,0.141440667559,24.9097317698,0.0387648154639,0.0277542538456,0.0143202553173,0.5533133844925916,138.93118,4.541849,72.5,147649,0.0
